"usertype","month","ridecount","aveduration"
"casual","Jan",8087,46.7515155187338
"casual","Feb",6044,57.7080708140304
"casual","Mar",31454,56.2147074140014
"casual","Apr",69586,56.9248920616216
"casual","May",171162,56.9399475759806
"casual","Jun",238363,52.6889250890449
"casual","Jul",325866,59.1513957884529
"casual","Aug",315607,59.732957713232
"casual","Sep",223049,49.9052368627521
"casual","Oct",114739,42.9108367860971
"casual","Nov",29701,55.1859923571597
"casual","Dec",23905,53.9696107508889
"member","Jan",204776,12.477532972614
"member","Feb",192999,11.9713785408215
"member","Mar",308557,11.9892456401897
"member","Apr",395718,12.8008619294548
"member","May",597302,13.955378800004
"member","Jun",695281,14.7734828479421
"member","Jul",775931,15.9399123865395
"member","Aug",805038,15.4504004817164
"member","Sep",708040,14.2900684608214
"member","Oct",601739,12.9321635227233
"member","Nov",316071,12.618415384518
"member","Dec",260068,12.2729674700463
