"usertype","weekday","ridecount","aveduration"
"casual","Sun",315439,57.0291395388649
"casual","Mon",181933,54.2930750935784
"casual","Tue",153137,57.0603466438548
"casual","Wed",161210,53.5912704174679
"casual","Thu",172614,55.9374816295318
"casual","Fri",203812,54.5201965095284
"casual","Sat",369418,53.7630482732298
"member","Sun",516621,15.7006584149696
"member","Mon",906617,13.3777500311598
"member","Tue",990822,13.5416222510199
"member","Wed",998864,13.8026083040334
"member","Thu",978010,13.4214834234824
"member","Fri",899695,13.7489403208865
"member","Sat",570891,16.0867646836261
